round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
61,0.455596,0.899353,0.899353,0.899353,0.899353,0.11578,0.18562,0.114974,0.988618,0.899353,0.940841
62,0.498479,0.865119,0.865119,0.865119,0.865119,0.113738,0.177801,0.109155,0.988537,0.865119,0.921574
63,0.512934,0.856053,0.856053,0.856053,0.856053,0.112197,0.14394,0.10586,0.9874,0.856053,0.916367
64,0.506321,0.867829,0.867829,0.867829,0.867829,0.112695,0.154907,0.107474,0.987826,0.867829,0.923096
65,0.483425,0.89204,0.89204,0.89204,0.89204,0.112895,0.152896,0.109358,0.987749,0.89204,0.936692
66,0.468309,0.901968,0.901968,0.901968,0.901968,0.114589,0.186351,0.112943,0.989004,0.901968,0.942228
67,0.457841,0.912396,0.912396,0.912396,0.912396,0.113948,0.16727,0.112459,0.988294,0.912396,0.9479
68,0.466044,0.894232,0.894232,0.894232,0.894232,0.114176,0.188797,0.111657,0.989199,0.894232,0.937964
69,0.457899,0.901316,0.901316,0.901316,0.901316,0.113986,0.180527,0.111772,0.988793,0.901316,0.941829
70,0.460778,0.881057,0.881057,0.881057,0.881057,0.113585,0.186779,0.109698,0.989196,0.881057,0.930595
71,0.441734,0.901437,0.901437,0.901437,0.901437,0.113874,0.182021,0.111523,0.988897,0.901437,0.941903
72,0.454564,0.869488,0.869488,0.869488,0.869488,0.113207,0.184157,0.108232,0.989118,0.869488,0.924032
73,0.442007,0.890246,0.890246,0.890246,0.890246,0.113656,0.185413,0.110373,0.989052,0.890246,0.935702
74,0.452685,0.85597,0.85597,0.85597,0.85597,0.112913,0.182046,0.106811,0.989038,0.85597,0.916259
75,0.434511,0.883534,0.883534,0.883534,0.883534,0.113432,0.184929,0.109516,0.98904,0.883534,0.931939
76,0.442235,0.844219,0.844219,0.844219,0.844219,0.112604,0.176729,0.105476,0.988771,0.844219,0.909389
77,0.421173,0.883225,0.883225,0.883225,0.883225,0.113247,0.181398,0.10915,0.988821,0.883225,0.931721
78,0.437204,0.836532,0.836532,0.836532,0.836532,0.112195,0.164214,0.104274,0.988272,0.836532,0.904872
79,0.41474,0.877985,0.877985,0.877985,0.877985,0.112681,0.166375,0.107819,0.988295,0.877985,0.928779
80,0.430059,0.833907,0.833907,0.833907,0.833907,0.111898,0.152862,0.103586,0.987858,0.833907,0.903344
81,0.411256,0.851371,0.851371,0.851371,0.851371,0.111982,0.153009,0.104921,0.98784,0.851371,0.913567
